Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,NumberOfBedrooms,Acquisition Date,Disposal Date,Assistance Type,Property Source,Targeted,Target Group,Has Nomination Rights,Nomination Rights -Name,Nomination Rights -ABN,Sublet to Name,Sublet to ABN,Sublet Date,Disability Modifications,Dwelling Type,Class,Condition Surveyed,Met standards,Smoke alarm tested,Smoke alarm tested and in working order,Overdue Reason,Availability Status,FaCS Program,NRAS Funded,MarketRent,Method for determining Market Rent (NRAS),Boarding units or room,Number of Tenancies at full capacity,Number Rooms Untenantable,Program,AssetType,Branch,full_address,lat,lon,google_maps_link
011851,16,49,Stowe Avenue,Campbelltown,2560,Campbelltown (NSW),2,2018-11-01,,Affordable Housing,Fee for Service,No,,No,,,,,,,Unit,Class 1a,,,,,Strata Managed,Tenantable,,No,450.0,Other,,,,FFS Market Program,Fee for service,Operations Sydney,"49 Stowe Avenue, Campbelltown, 2560, Australia",,,"https://www.google.com/maps/search/?api=1&query=49+Stowe+Avenue,+Campbelltown,+2560,+Australia"
011853,3,49,Stowe Avenue,Campbelltown,2560,Campbelltown (NSW),2,2018-11-01,,Affordable Housing,Fee for Service,No,,No,,,,,,,Unit,Class 1a,,,,,Strata Managed,Tenantable,,No,450.0,Other,,,,FFS Market Program,Fee for service,Operations Sydney,"49 Stowe Avenue, Campbelltown, 2560, Australia",,,"https://www.google.com/maps/search/?api=1&query=49+Stowe+Avenue,+Campbelltown,+2560,+Australia"
011862,1,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-09-14,2023-09-14,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
011863,2,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-08-21,2023-08-21,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
011866,3,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-07-04,2023-07-04,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
011867,4,23,Jubilee Street,Dubbo,2830,Dubbo,2,2019-01-11,,General Housing,Leasehold,No,,No,,,,,,,Unit,Class 1a,,,2023-07-11,2023-07-11,,Tenantable,CHLP,No,370.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Dubbo,"23 Jubilee Street, Dubbo, 2830, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Jubilee+Street,+Dubbo,+2830,+Australia"
1000,,12,Bolton Street,Bateau Bay,2261,Central Coast (NSW),3,2002-06-21,,Other FaCS,Fee for Service,No,,No,,,,,,,House,Class 1a,,,2023-12-19,2023-12-19,,Tenantable,,No,600.0,Rent & Sales Report,,,,FFS HPAD,Capital-GSH,Operations Central Coast,"12 Bolton Street, Bateau Bay, 2261, Australia",,,"https://www.google.com/maps/search/?api=1&query=12+Bolton+Street,+Bateau+Bay,+2261,+Australia"
10000,,28,O'Toole Street,Weston,2326,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-09-11,2023-09-11,,Tenantable,,No,450.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"28 O'Toole Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=28+O'Toole+Street,+Weston,+2326,+Australia"
10001,,8,Cook Place,Taree,2430,Mid-Coast,4,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,550.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"8 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Cook+Place,+Taree,+2430,+Australia"
10002,,2,Barton Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"2 Barton Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=2+Barton+Street,+Taree,+2430,+Australia"
10003,,32,Barton Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-11,2023-10-11,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"32 Barton Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=32+Barton+Street,+Taree,+2430,+Australia"
10004,,5,Cook Place,Taree,2430,Mid-Coast,4,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,550.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"5 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Cook+Place,+Taree,+2430,+Australia"
10005,,9,Cook Place,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-04,2023-10-04,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"9 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Cook+Place,+Taree,+2430,+Australia"
10006,,3,Khatabundah Street,Wingham,2429,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-25,2023-10-25,,Tenantable,,No,445.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"3 Khatabundah Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Khatabundah+Street,+Wingham,+2429,+Australia"
10007,,4,Muldoon Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-11-08,2023-11-08,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"4 Muldoon Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Muldoon+Street,+Taree,+2430,+Australia"
10008,,94,Fourth Street,Weston,2326,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-07-02,2024-07-02,,Tenantable,,No,450.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"94 Fourth Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=94+Fourth+Street,+Weston,+2326,+Australia"
10009,,27,Mcblane Street,Weston,2326,Cessnock,4,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-07-03,2024-07-03,,Tenantable,,No,580.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"27 Mcblane Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=27+Mcblane+Street,+Weston,+2326,+Australia"
10010,,14,Coulson Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-14,2023-08-14,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"14 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=14+Coulson+Avenue,+Cessnock,+2325,+Australia"
10011,,16,Coulson Avenue,Cessnock,2325,Cessnock,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-14,2023-08-14,,Tenantable,,No,395.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"16 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=16+Coulson+Avenue,+Cessnock,+2325,+Australia"
10012,,18,Coulson Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-14,2023-08-14,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"18 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=18+Coulson+Avenue,+Cessnock,+2325,+Australia"
10013,,2,Casson Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-14,2023-08-14,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"2 Casson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=2+Casson+Avenue,+Cessnock,+2325,+Australia"
10014,,27,Common Road,Bendolba,2420,Dungog,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-06-24,2024-06-24,,Tenantable,,No,489.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"27 Common Road, Bendolba, 2420, Australia",,,"https://www.google.com/maps/search/?api=1&query=27+Common+Road,+Bendolba,+2420,+Australia"
10015,,30,Coulson Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-14,2023-08-14,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"30 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+Coulson+Avenue,+Cessnock,+2325,+Australia"
10016,,51,Alkira Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-10,2023-08-10,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"51 Alkira Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=51+Alkira+Avenue,+Cessnock,+2325,+Australia"
10017,,101,Kelso Street,Singleton,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-06-26,2024-06-26,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"101 Kelso Street, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=101+Kelso+Street,+Singleton,+2330,+Australia"
10018,,8,Teece Street,Weston,2326,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-03-13,2024-03-13,,Tenantable,,No,450.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"8 Teece Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Teece+Street,+Weston,+2326,+Australia"
10019,3,1,Burns Street,Kurri Kurri,2327,Cessnock,1,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Unit,Class 1a,,,2023-02-06,2023-02-06,,Tenantable,,No,280.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"1 Burns Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Burns+Street,+Kurri+Kurri,+2327,+Australia"
1002,,23,Nisic Close,Bateau Bay,2261,Central Coast (NSW),3,2000-11-13,,General Housing,Leasehold,No,,No,,,,,,,House,Class 1a,,,2024-02-21,2024-02-21,,Tenantable,,No,600.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Central Coast,"23 Nisic Close, Bateau Bay, 2261, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Nisic+Close,+Bateau+Bay,+2261,+Australia"
10020,,52,Alkira Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-12,2023-10-12,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"52 Alkira Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=52+Alkira+Avenue,+Cessnock,+2325,+Australia"
10021,,25,Mitchell Close,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-04-16,2024-04-16,,Tenantable,,No,450.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"25 Mitchell Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=25+Mitchell+Close,+Cessnock,+2325,+Australia"
10022,,21,Mitchell Close,Cessnock,2325,Cessnock,4,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-09,2023-08-09,,Tenantable,,No,560.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"21 Mitchell Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=21+Mitchell+Close,+Cessnock,+2325,+Australia"
10023,,30,Wakehurst Crescent,Singleton Heights,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-06-26,2024-06-26,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"30 Wakehurst Crescent, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+Wakehurst+Crescent,+Singleton+Heights,+2330,+Australia"
10024,,64,Blaxland Avenue,Singleton Heights,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-06-24,2024-06-24,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"64 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=64+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
10025,,54,Blaxland Avenue,Singleton Heights,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,Adaptable,Cottage,Class 1a,,,2023-06-02,2023-06-02,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"54 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=54+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
10026,,30,Warrina Close,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-11-01,2023-11-01,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"30 Warrina Close, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+Warrina+Close,+Taree,+2430,+Australia"
10027,,3,Maple Close,Gloucester,2422,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-09-07,2023-09-07,,Tenantable,,No,500.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"3 Maple Close, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Maple+Close,+Gloucester,+2422,+Australia"
10028,,14,Irvine Street,Wingham,2429,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,Accessible,Cottage,Class 1a,,,2023-10-25,2023-10-25,,Tenantable,,No,445.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"14 Irvine Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=14+Irvine+Street,+Wingham,+2429,+Australia"
10029,,26,Marjorie Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-03-14,2024-03-14,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"26 Marjorie Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=26+Marjorie+Street,+Taree,+2430,+Australia"
10030,,30,Marjorie Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-11-28,2023-11-28,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"30 Marjorie Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+Marjorie+Street,+Taree,+2430,+Australia"
10031,,7,Irvine Street,Wingham,2429,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-27,2023-10-27,,Tenantable,,No,445.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"7 Irvine Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=7+Irvine+Street,+Wingham,+2429,+Australia"
10032,,3,Mawarra Place,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-11-28,2023-11-28,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"3 Mawarra Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Mawarra+Place,+Taree,+2430,+Australia"
10033,,38,Alkira Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-10,2023-08-10,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"38 Alkira Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=38+Alkira+Avenue,+Cessnock,+2325,+Australia"
10034,,7,Deakin Avenue,Singleton,2330,Singleton,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-02-22,2024-02-22,,Tenantable,,No,400.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"7 Deakin Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=7+Deakin+Avenue,+Singleton,+2330,+Australia"
10035,,21,Burnett Street,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-17,2023-08-17,,Tenantable,,No,470.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"21 Burnett Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=21+Burnett+Street,+Cessnock,+2325,+Australia"
10036,,9,Latham Avenue,Taree,2430,Mid-Coast,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-25,2023-08-25,,Tenantable,,No,420.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"9 Latham Avenue, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Latham+Avenue,+Taree,+2430,+Australia"
10037,,31,Allan Street,Wingham,2429,Mid-Coast,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-09,2023-10-09,,Tenantable,,No,390.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"31 Allan Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=31+Allan+Street,+Wingham,+2429,+Australia"
10038,,26,Deakin Street,Kurri Kurri,2327,Cessnock,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-17,2023-08-17,,Tenantable,,No,385.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"26 Deakin Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=26+Deakin+Street,+Kurri+Kurri,+2327,+Australia"
10039,,50,Cowper Street,Taree,2430,Mid-Coast,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-11-23,2023-11-23,,Tenantable,,No,420.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"50 Cowper Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=50+Cowper+Street,+Taree,+2430,+Australia"
1004,,20,Rotherham Street,Bateau Bay,2261,Central Coast (NSW),3,1997-08-11,,General Housing,Capital,No,,No,,,,,,,House,Class 1a,,,2024-05-10,2024-05-10,,Tenantable,,No,600.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Central Coast,"20 Rotherham Street, Bateau Bay, 2261, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Rotherham+Street,+Bateau+Bay,+2261,+Australia"
10040,,10,Barton Avenue,Singleton,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-07-08,2024-07-08,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"10 Barton Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=10+Barton+Avenue,+Singleton,+2330,+Australia"
10041,,5,Barton Avenue,Singleton,2330,Singleton,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-10-12,2023-10-12,,Tenantable,,No,400.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"5 Barton Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Barton+Avenue,+Singleton,+2330,+Australia"
10042,,52,Cowper Street,Taree,2430,Mid-Coast,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-25,2023-08-25,,Tenantable,,No,420.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"52 Cowper Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=52+Cowper+Street,+Taree,+2430,+Australia"
10043,,23,Sussex Street,Singleton,2330,Singleton,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,Adaptable,Cottage,Class 1a,,,2024-06-28,2024-06-28,,Tenantable,,No,400.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"23 Sussex Street, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=23+Sussex+Street,+Singleton,+2330,+Australia"
10044,,28,Buchan Avenue,Singleton,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-03-04,2024-03-04,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"28 Buchan Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=28+Buchan+Avenue,+Singleton,+2330,+Australia"
10045,,30,Buchan Avenue,Singleton,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-06-24,2024-06-24,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"30 Buchan Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+Buchan+Avenue,+Singleton,+2330,+Australia"
10046,,27,Buchan Avenue,Singleton,2330,Singleton,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-02-22,2024-02-22,,Tenantable,,No,400.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"27 Buchan Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=27+Buchan+Avenue,+Singleton,+2330,+Australia"
10047,,58,Cowper Street,Taree,2430,Mid-Coast,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-25,2023-08-25,,Tenantable,,No,460.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Taree,"58 Cowper Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=58+Cowper+Street,+Taree,+2430,+Australia"
10048,,9,Loder Avenue,Singleton,2330,Singleton,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-07-08,2024-07-08,,Tenantable,,No,493.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations Upper Hunter,"9 Loder Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Loder+Avenue,+Singleton,+2330,+Australia"
10049,,41,Mackay Street,Dungog,2420,Dungog,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-01-10,2024-01-10,,Tenantable,,No,489.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"41 Mackay Street, Dungog, 2420, Australia",,,"https://www.google.com/maps/search/?api=1&query=41+Mackay+Street,+Dungog,+2420,+Australia"
1005,,25,Talara Avenue,Bateau Bay,2261,Central Coast (NSW),2,2000-11-13,,General Housing,Capital,No,,No,,,,,,,House,Class 1a,,,2024-05-10,2024-05-10,,Tenantable,,No,460.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Central Coast,"25 Talara Avenue, Bateau Bay, 2261, Australia",,,"https://www.google.com/maps/search/?api=1&query=25+Talara+Avenue,+Bateau+Bay,+2261,+Australia"
10050,,47,Mackay Street,Dungog,2420,Dungog,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2024-03-19,2024-03-19,,Tenantable,,No,274.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"47 Mackay Street, Dungog, 2420, Australia",,,"https://www.google.com/maps/search/?api=1&query=47+Mackay+Street,+Dungog,+2420,+Australia"
10051,,6,Hunter Avenue,Cessnock,2325,Cessnock,3,2019-06-03,,General Housing,Capital,No,,No,,,,,,Adaptable,Cottage,Class 1a,,,2023-10-12,2023-10-12,,Tenantable,,No,355.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"6 Hunter Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=6+Hunter+Avenue,+Cessnock,+2325,+Australia"
10052,,12,Hunter Avenue,Cessnock,2325,Cessnock,2,2019-06-03,,General Housing,Capital,No,,No,,,,,,,Cottage,Class 1a,,,2023-08-09,2023-08-09,,Tenantable,,No,395.0,Rent & Sales Report,,,,SHMT-GSHFACS,Capital-GSH,Operations East Maitland,"12 Hunter Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=12+Hunter+Avenue,+Cessnock,+2325,+Australia"
