Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,NumberOfBedrooms,Acquisition Date,Disposal Date,Assistance Type,Property Source,Targeted,Target Group,Has Nomination Rights,Nomination Rights -Name,Nomination Rights -ABN,Sublet to Name,Sublet to ABN,Sublet Date,Disability Modifications,Dwelling Type,Class,Condition Surveyed,Met standards,Smoke alarm tested,Smoke alarm tested and in working order,Overdue Reason,Availability Status,FaCS Program,NRAS Funded,MarketRent,Method for determining Market Rent (NRAS),Boarding units or room,Number of Tenancies at full capacity,Number Rooms Untenantable,Program,AssetType,Branch,full_address,lat,lon,google_maps_link
5270,,115,Wollombi Road,Muswellbrook,2333,Muswellbrook,3,2011-11-07,,General Housing,Capital,No,,No,,,,,,,House,Class 1a,,,2024-06-28,2024-06-28,,Tenantable,,No,400.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Upper Hunter,"115 Wollombi Road, Muswellbrook, 2333, Australia",-32.2761483,150.8745421,"https://www.google.com/maps/search/?api=1&query=115+Wollombi+Road,+Muswellbrook,+2333,+Australia"
5275,1,52-56,Bull Street,Mayfield,2304,Newcastle,2,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-04-29,2024-04-29,,Tenantable,This Way Home,No,450.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5276,2,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-05-31,2024-05-31,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5277,3,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-05-29,2024-05-29,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5278,4,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-05-24,2024-05-24,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5279,5,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2023-10-12,2023-10-12,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5280,6,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-04-30,2024-04-30,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5281,7,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-05-29,2024-05-29,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5282,8,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-05-29,2024-05-29,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
5283,9,52-56,Bull Street,Mayfield,2304,Newcastle,1,2011-12-01,,Crisis Accommodation,Capital,Yes,Supported Living,Yes,PFG,MULTIPLE,,,,,Unit,Class 1a,,,2024-04-30,2024-04-30,,Tenantable,This Way Home,No,315.0,Rent & Sales Report,,,,This Way Home Project - Temporary Accomodation,Transitional,Operations Newcastle,"52-56 Bull Street, Mayfield, 2304, Australia",-32.8906261,151.7389663,"https://www.google.com/maps/search/?api=1&query=52-56+Bull+Street,+Mayfield,+2304,+Australia"
