full_address,lat,lon
"19 Burigal Street, Narrabri, 2390, Australia",-30.3360565,149.754866
"59 Wallace Street, Nowra, 2541, Australia",-34.8872616,150.6079214
"103 Berry Street, Nowra, 2541, Australia",-34.8764409,150.6001729
"192 Albatross Road, Nowra Hill, 2540, Australia",-34.9331349,150.5560902
"38 Uranus Road, Padstow, 2211, Australia",-33.9562088,151.0224355
"8 Rose Street, Punchbowl, 2196, Australia",-33.9295211,151.0496959
"33-35 Donald Road, Queanbeyan, 2620, Australia",-35.3689294,149.2229831
"26 Charles Street, Queanbeyan, 2620, Australia",-35.3600878,149.2276572
"32 Elizabeth Crescent, Queanbeyan East, 2620, Australia",-35.3459709,149.2502501
"49 Dewhurst Street, Quirindi, 2343, Australia",-31.5096233,150.6878858
"1237 Kamilaroi Highway, Quirindi, 2343, Australia",-31.4666346,150.6199856
"29 Primrose Avenue, Rosebery, 2018, Australia",-33.9166975,151.2056272
"17 Remly Street, Roselands, 2196, Australia",-33.92954,151.0809715
"3 Hillview Street, Roselands, 2196, Australia",-33.9269671,151.0834387
"14 Bladwell Place, Run-o-waters, 2580, Australia",,
"14 Hicks Street, Russell Vale, 2517, Australia",-34.3567257,150.8987874
"23-25 Links Avenue, South Tamworth, 2340, Australia",-31.1049502,150.9080038
"14 Hydebrae Street, Strathfield, 2135, Australia",-33.8732766,151.0758219
"31 Prospect Road, Summer Hill, 2130, Australia",-33.8924877,151.13212922169362
"11 Wahroonga Drive, Tamworth, 2340, Australia",-31.1215413,150.9063173
"7 Emerald Avenue, Tamworth, 2340, Australia",-31.0997067,150.9446037
"4 Cannell Crescent, Towradgi, 2518, Australia",-34.3864802,150.9018899
"60 Royal Mantle Drive, Ulladulla, 2539, Australia",-35.3416474,150.4581218
"21 Asteria Street, Worrigee, 2540, Australia",-34.8998179,150.6199773
"15 Bellevue Street, Figtree, 2525, Australia",,
"14B Ralston Drive, Orange, 2800, Australia",-33.2448486,149.106349
"22a Rifle Range Road, Orange, 2800, Australia",-33.306991,149.0849702
"22B Rifle Range Road, Orange, 2800, Australia",-33.306991,149.0849702
"31 Cleveland Street, Cameron Park, 2285, Australia",-32.920362,151.6038066
"29 Tannery Street, Unanderra, 2526, Australia",-34.4541849,150.8433488
"30 Scenic Drive, Budgewoi, 2262, Australia",-33.2321439,151.5475115
"31 Mountain View Drive, Woongarrah, 2259, Australia",-33.2492973,151.4829496
"41 Ashton Drive, Heddon Greta, 2321, Australia",-32.7986481,151.5145037
"5 Glen Close, Heddon Greta, 2321, Australia",-32.794601,151.5153802
"33 Burdekin Drive, Albion Park, 2527, Australia",-34.5874299,150.7859174
"99 Burdekin Drive, Albion Park, 2527, Australia",-34.5874299,150.7859174
"19 Darling Mills Road, Albion Park, 2527, Australia",-34.5905839,150.7852116
"41 Scarborough Circuit, Albion Park, 2527, Australia",-34.57678,150.7715638
"4 Spring Valley Avenue, Gorokan, 2263, Australia",-33.2488264,151.5096665
"36 Bernice Crescent, Waratah, 2298, Australia",-32.9018005,151.7075083
"17 Auburn Street, Gillieston Heights, 2321, Australia",-32.7674732,151.5243401
"1A Lindley Street, Edgeworth, 2285, Australia",-32.9249968,151.6314691
"31 Common Road, Bendolba, 2420, Australia",-32.3971418,151.7439834
"33 Alkira Avenue, Cessnock, 2325, Australia",-32.8209644,151.3712994
"22 Alkira Avenue, Cessnock, 2325, Australia",-32.8209644,151.3712994
"23 Wermol Street, Kurri Kurri, 2327, Australia",-32.8124829,151.47654
"24 Crozier Crescent, Meadowbrook, 4131, Australia",-27.6695588,153.1489125
"5 Demarr Court, Meadowbrook, 4131, Australia",-27.6713231,153.1524018
"58 Kilsay Crescent, Meadowbrook, 4131, Australia",-27.6674066,153.1484163
"12 Petringa Crescent, Springwood, 4127, Australia",-27.633848,153.1453266
"217 Tilley Road, Wakerley, 4154, Australia",-27.4875076,153.1546429
"91 Besline Street, Kuraby, 4112, Australia",-27.6007335,153.0960049
"83 Meadowlands Street, Carindale, 4152, Australia",,
"38 Vintage Drive, Thornlands, 4164, Australia",-27.5605389,153.2645425
"1 Portland Parade, Redland Bay, 4165, Australia",-27.6250777,153.2906467
"14 Verdelho Street, Thornlands, 4164, Australia",-27.5576952,153.2630091
"26 Donfern Street, Mount Gravatt, 4122, Australia",-27.5377323,153.0678713
"11 Ancilla Street, Mansfield, 4122, Australia",-27.537946,153.0990487
"28 Collinson Street, Runcorn, 4113, Australia",-27.6059031,153.0733377
"125 Morden Road, Sunnybank Hills, 4109, Australia",-27.5816067,153.0395387
"4 Mulgowie Street, Sunnybank Hills, 4109, Australia",,
"34 Prospect Terrace, Highgate Hill, 4101, Australia",-27.4851083,153.022334
"10 Penelope Street, Murarrie, 4172, Australia",-27.456932,153.1032525
"29 Vaughan Street, Mount Gravatt, 4122, Australia",-27.5334988,153.0691331
"29 Samara Street, Sunnybank, 4109, Australia",-27.5780218,153.0732685
"52 Thurlby Street, Upper Mount Gravatt, 4122, Australia",-27.5532266,153.089874
"9 Adsett Street, Taringa, 4068, Australia",-27.49324155,152.98285686264404
"3 Chapman Street, Oxley, 4075, Australia",,
"38 Mowbray Terrace, East Brisbane, 4169, Australia",-27.4832533,153.0435469
"21 Pine Drive, Woodridge, 4114, Australia",-27.6383776,153.0999617
"37 Samara Street, Sunnybank, 4109, Australia",-27.5781103,153.0738772
"78 Marshall Road, Rocklea, 4106, Australia",-27.5562374,153.0165211
"81 Gainsborough Street, Moorooka, 4105, Australia",-27.5345786,153.0180373
"15 Justin Place, Crestmead, 4132, Australia",-27.6989184,153.0919278
"7 Farrar Street, Acacia Ridge, 4110, Australia",-27.5915448,153.0224551
"479 Warrigal Road, Eight Mile Plains, 4113, Australia",-27.5798508,153.0871121
"9 Feluga Street, Shailer Park, 4128, Australia",-27.6606901,153.1753137975477
"49 Archer Street, Upper Mount Gravatt, 4122, Australia",-27.555319,153.0826888
"16 Donna Avenue, Rochedale South, 4123, Australia",-27.6056497,153.1268655
